name,born,gender_details,basic
Frances Alda,"['Born: 31-May-1879', 'Birthplace: Christchurch, New Zealand']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: David Davies', 'Mother: Leonora', 'Husband: Giulio Gatti-Casazza (Manager of the NY Met, m. 3-Apr-1910, div. 1928)', 'Husband: Ray Vir Den (advertising executive, m. 14-Apr-1941)']"
Robert Alda,"['Born: 26-Nov-1914', 'Birthplace: New York City']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Joan Browne (Miss New York, m. 1932, div., one son)', 'Son: Alan Alda (actor, b. 28-jan-1936)', 'Wife: Flora Martino (until his death, one son)', 'Son: Antony Alda (b. 9-Dec-1956)']"
Jason Aldean,"['Born: 28-Feb-1977', 'Birthplace: Macon, GA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Country Musician']","['Father: Barry Williams', 'Mother: Debbie', 'Wife: Jessica Ussery (m. 4-Aug-2001, div. 26-Apr-2013, two daughters)', 'Daughter: Keeley Williams (b. 14-Feb-2003)', 'Daughter: Kendyl Williams (b. 20-Aug-2007)', 'Wife: Brittany Kerr (his former mistress, American Idol contestant, m. 21-Mar-2015)']"
Christopher J. Alden,['Born: c. 1970'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business', 'Party Affiliation: Republican']",
Norman Alden,"['Born: 13-Sep-1924', 'Birthplace: Fort Worth, TX']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",['Wife: Sharon Hayden (m. 23-Apr-1966)']
Kurt Alder,"['Born: 10-Jul-1902', 'Birthplace: Chorźow, Poland']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Chemist']",['Wife: Gertrud']
Charles Alderton,"['Born: 21-Jun-1857', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Inventor, Chemist, Doctor']",
William F. Aldinger,"['Born: 1947', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Father: William F. Aldinger', 'Wife: Alberta (four children)']"
Richard Aldington,"['Born: 8-Jul-1892', 'Birthplace: Portsmouth, Hampshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Poet']","['Wife: H. D. (poet, m. 1913, div. 1938, d. 1962, one daughter)', 'Daughter: (d. 1915 childbirth)']"
Ruggero J. Aldisert,"['Born: 10-Nov-1919', 'Birthplace: Carnegie, PA']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Judge', 'Party Affiliation: Democratic']","['Father: John S. Aldisert', 'Mother: Elizabeth Magnacca', 'Wife: Agatha Maria DeLacio (m. 4-Oct-1952, one daughter, two sons)', 'Daughter: Lisa Maria', 'Son: Robert', 'Son: Gregory']"
Brian Aldiss,"['Born: 18-Aug-1925', 'Birthplace: Dereham, Norfolk, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Wife: Olive Fortescue (div. 1965)', 'Son: Clive', 'Daughter: Wendy', 'Wife: Margaret Manson (m. 1965, d. 1997)', 'Son: Tim', 'Daughter: Charlotte']"
Tom Aldredge,"['Born: 28-Feb-1928', 'Birthplace: Dayton, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: W. J. Aldredge (Col., US Army)', 'Mother: Lucienne Juliet Marcillat', 'Wife: Theoni Athanasiou (costume designer, m. 10-Dec-1963, d. 21-Jan-2011)']"
Charles H. Aldrich,"['Born: 28-Aug-1850', 'Birthplace: LaGrange County, IN']","['Gender: Male', 'Religion: Presbyterian [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Attorney', 'Party Affiliation: Republican']","['Father: Hamilton Metcalf Aldrich', 'Mother: Harriet Sherwood', 'Wife: Helen Roberts (m. 13-Oct-1876, one son, one daughter)', 'Son: Charles, Jr.', 'Daughter: Helen Aldrich Hare']"
Gary Aldrich,"['Born: 22-May-1945', 'Birthplace: Amsterdam, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Activist', 'Party Affiliation: Republican']","['Wife: Nina (ex-FBI agent, three children)']"
Nelson W. Aldrich,"['Born: 6-Nov-1841', 'Birthplace: Foster, RI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Wife: Abby Pierce Chapman (m. 9-Oct-1866, ten children)', 'Son: Richard Steere Aldrich', 'Daughter: Abby Greene Aldrich (m. John D. Rockefeller, Jr. in 1901)', 'Daughter: Lucy T. Aldrich', 'Son: Winthrop W. Aldrich (Chairman, Chase Manhattan Bank)']"
Robert Aldrich,"['Born: 9-Aug-1918', 'Birthplace: Cranston, RI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']","['Son: Adell Aldrich (film industry, b. 11-Jun-1943)', 'Son: William Aldrich (film producer, b. 17-Oct-1944)']"
Thomas Bailey Aldrich,"['Born: 11-Nov-1836', 'Birthplace: Portsmouth, NH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Poet, Author']","['Father: (d. when Aldrich was 16)', 'Wife: Lillian Woodman (m. 1865)']"
Winthrop W. Aldrich,"['Born: 2-Nov-1885', 'Birthplace: Providence, RI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Diplomat']","['Father: Nelson W. Aldrich (US Senator, b. 1841, d. 1915)', 'Mother: Abby Pierce Chapman', 'Brother: Richard Steere Aldrich', 'Sister: Abby Greene Aldrich (m. John D. Rockefeller, Jr.)', 'Sister: Lucy T. Aldrich', 'Wife: Harriet Crocker Alexander (b. 1888, m. 7-Dec-1916, d. 1972)', 'Son: Winthrop Williams (b. 1917, d. 1921)', 'Daughter: Mary (b. 1921)', 'Daughter: Harriet Crocker (b. 1922)', 'Daughter: Lucy Truman (b. 1924)', 'Daughter: Elizabeth Brewster (""Liberty"", b. 1925)', 'Son: Alexander (b. 1928)']"
James Aldridge,"['Born: 10-Jul-1918', 'Birthplace: White Hills, Victoria, Australia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Novelist']","['Father: William Thomas Aldridge', 'Mother: Edith Quayle Aldridge', 'Wife: Dina Mitchnik (m. 1942, two sons)']"
Kay Aldridge,"['Born: 9-Jul-1917', 'Birthplace: Tallahassee, FL']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",
Michael Aldridge,"['Born: 9-Sep-1920', 'Birthplace: Glastonbury, Somerset, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Frederick James Aldridge', 'Mother: Kathleen Michaela Marietta White', 'Wife: Kirsteen Rowntree (three daughters)']"
Pete Aldridge,"['Born: 18-Aug-1938', 'Birthplace: Houston, TX']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Government', 'Party Affiliation: Republican']",['Wife: Joanne']
Buzz Aldrin,"['Born: 20-Jan-1930', 'Birthplace: Montclair, NJ']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Astronaut']","['Father: Col. Edwin E. Aldrin', 'Mother: Marion Moon', 'Wife: Joan A. Archer (div.)', 'Wife: Beverly Van Zile (m. 1975, div. 1978)', 'Girlfriend: Grace Lee Whitney (1980-81)', 'Wife: Lois Driggs Cannon (m. 1987)']"
Ulisse Aldrovandi,"['Born: 11-Sep-1522', 'Birthplace: Bologna, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Naturalist']",
Norma Aleandro,"['Born: 2-May-1936', 'Birthplace: Buenos Aires, Argentina']","['Gender: Female', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Pedro Aleandro (actor, b. 11-Oct-1910, d. 1-Jul-1985)', 'Mother: María Luisa Robledo (actress, b. 28-Sep-1912, d. 26-Oct-2005)', 'Sister: María Vaner (actress, b. 23-Mar-1935, d. 21-Jul-2008)', 'Husband: Oscar Ferrigno (actor, div., one son)', 'Son: Oscar Ferrigno, Jr.', 'Husband: Eduardo Le Poole']"
Sholem Aleichem,"['Born: 2-Mar-1859 [1]', 'Birthplace: Pereyaslav, Ukraine']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Menachem-Nukhem Rabinovich (scholar)', 'Mother: Khaye-Ester (d. 1872 cholera)', 'Wife: Olga Loyev (m. 1883)', 'Son: Michael (""Misha"", d. 1915 tuberculosis)', 'Son: Nahum (""Numa"")', 'Daughter: Chaja Esther (""Ernestine"")', 'Daughter: Sarah (""Lialia"")', 'Daughter: Noomi (""Emma"")', 'Daughter: Miriam (""Marusia"")']"
Vicente Aleixandre,"['Born: 26-Apr-1898', 'Birthplace: Sevilla, Spain']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Occupation: Poet']",['Father: (railway engineer)']
Kevin Alejandro,"['Born: 7-Apr-1976', 'Birthplace: San Antonio, TX']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Tomas Hernandez', 'Mother: Dora Alejandro', 'Sister: Kimberly McGraw', 'Sister: Tanya Hernandez', 'Wife: Leslie de Jesus Alejandro (m. 14-Feb-2004, one son)', 'Son: Kaden Michael Alejandro (b. 22-Feb-2008)']"
Raquel Alessi,['Born: ?'],"['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Actor']",
Betty C. Alewine,['Born: c. 1948'],"['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']",
Alexander,"['Born: 1-Aug-1893', 'Birthplace: Athens, Greece']","['Gender: Male', 'Religion: Greek Orthodox', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Constantine I (King of Greece, b. 2-Aug-1868, d. 11-Jan-1923)', 'Mother: Sophia of Prussia (b. 14-Jun-1870, d. 13-Jan-1932)', 'Brother: George II (King of Greece, b. 20-Jul-1890, d. 1-Apr-1947)', 'Sister: Helen (b. 2-May-1896, d. 28-Nov-1982)', 'Brother: Paul (King of Greece, b. 14-Dec-1901, d. 6-Mar-1964)', 'Sister: Irene (b. 13-Feb-1904, d. 15-Apr-1974)', 'Sister: Katherine (b. 4-May-1913, d. 2-Oct-2007)', 'Wife: Aspasia Manos (commoner, m. 4-Nov-1919, d. 7-Aug-1972, one daughter)', 'Daughter: Alexandra of Greece (b. 25-Mar-1921, d. 30-Jan-1993)']"
Tsar Alexander I,"['Born: 23-Dec-1777', 'Birthplace: St. Petersburg, Russia']","['Gender: Male', 'Religion: Russian Orthodox', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Tsar Paul I (b. 1754, d. 1801)', 'Mother: Sophie Marie Dorothea Prinzessin von Württemberg (b. 25-Oct-1759, d. 5-Nov-1828)', 'Brother: Konstantin (b. 8-May-1779, d. 27-Jun-1831)', 'Sister: Aleksandra (b. 9-Aug-1783, d. 16-Mar-1801)', 'Sister: Elena (b. 24-Dec-1784, d. 24-Sep-1803)', 'Sister: Mariya (b. 16-Feb-1786, d. 23 Jun 1859)', 'Sister: Ekaterina (b. 21-May-1788, d. 19-Jan-1819)', 'Sister: Olga (b. 22-Jul-1792, d. 26-Jan-1795)', 'Sister: Anna (b. 18-Jan-1795, d. 1-Mar-1865)', 'Brother: Tsar Nicholas I (b. 6-Jul-1796, d. 2-Mar-1855)', 'Brother: Mikhail (b. 8-Feb-1798, d. 9-Sep-1849)', 'Wife: Luise Elisabeth Prinzessin von Baden (b. 24-Jan-1779, d. 26-May-1826)', 'Daughter: Mariya (b. 29-May-1799, d. 8-Jul-1800)', 'Daughter: Elizabeta (b. 15-Nov-1806, d. 12-May-1808)']"
Pope Alexander II,"['Born: ?', 'Birthplace: Baggio, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']",
Tsar Alexander II,"['Born: 17-Apr-1818', 'Birthplace: Moscow, Russia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Tsar Nicholas I (b. 1796, d. 1855)', 'Mother: Alexandra Feodorovna (b. 1798, d. 1860)', 'Wife: Marie Alexandrovna (m. 1841, d. 1880, three daughters, five sons)', 'Daughter: Alexandra Alexandrovna', 'Son: Nicholas Alexandrovich', 'Son: Tsar Alexander III', 'Son: Vladimir', 'Daughter: Alexis', 'Daughter: Marie Alexandrovna', 'Son: Serge Alexandrovich', 'Son: Paul Alexandrovich', 'Wife: Yekaterina Dolgorukaya (""Catherine Dolgoruki"")']"
Pope Alexander III,"['Born: c. 1105', 'Birthplace: Siena, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']",
Alexander the Great,"['Born: Jul-356 BC', 'Birthplace: Pella, Macedonia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual', 'Occupation: Royalty, Military']","['Father: Philip II', 'Mother: Olympias', 'Mother: Cleopatra (stepmother, not the Pharoah)', 'Wife: Roxana', 'Wife: Statira', 'Wife: Parysatis', 'Son: Heracles (b. 327 BC, by Barsine)', 'Son: Alexander IV of Macedon (b. 323 BC, by Roxana)', 'Mistress: Barsine', 'Boyfriend: Bagoas (eunuch)', 'Son: Sophytes']"
Pope Alexander V,"['Born: c. 1339', 'Birthplace: Crete']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']",
Pope Alexander VI,"['Born: 1-Jan-1431', 'Birthplace: Játiva, Spain']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Religion']","['Father: Jofre Lançol', 'Mother: Isabella Borja', 'Mistress: Vanozza Catanei (three sons, one daughter)', 'Son: Juan Borgia (b. 1474)', 'Son: Cesare Borgia (b. 1476)', 'Daughter: Lucrezia Borgia (b. 18-Apr-1480)', 'Son: Jofre Borgia (b. 1482)', 'Mistress: Julia Farnese (""La Bella"" or ""Giulia Bella"")', 'Daughter: Girolama', 'Son: Pedro Luis']"
Pope Alexander VII,"['Born: 13-Feb-1599', 'Birthplace: Siena, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']",
Pope Alexander VIII,"['Born: 22-Apr-1610', 'Birthplace: Venice, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']",
Anthony J. Alexander,"['Born: c. 1951', 'Birthplace: Akron, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']",['Wife: Becky (4 sons)']
Arthur Alexander,"['Born: 10-May-1940', 'Birthplace: Florence, AL']","['Gender: Male', 'Race or Ethnicity: Black', 'Occupation: Singer']",
Barbara T. Alexander,['Born: c. 1948'],"['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Business']",
Bill Alexander,"['Born: 16-Jan-1934', 'Birthplace: Memphis, TN']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Marjorie Gwendolyn Haven (""Gwen"", m. 5-Feb-1957, div.)', 'Daughter: Alyse Halstead']"
Christopher Alexander,"['Born: 4-Oct-1936', 'Birthplace: Vienna, Austria']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Architect']","['Wife: Pamela Patrick (m. 1978, two daughters)', 'Daughter: Lily', 'Daughter: Sophie']"
Cris Alexander,"['Born: 14-Jan-1920', 'Birthplace: Tulsa, OK']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Gay', 'Occupation: Photographer, Actor']",
Dave Alexander,"['Born: 3-Jun-1947', 'Birthplace: Whitmore Lake, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Bassist']",['Daughter: (b. 1969)']
Douglas Alexander,"['Born: 26-Oct-1967', 'Birthplace: Glasgow, Scotland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician']","['Father: Douglas N. Alexander (minister, Church of Scotland)', 'Sister: Wendy Alexander (Member of Scottish Parliament, b. 27-Jun-1963)', 'Wife: Jacqueline Christian (two children)']"
Doyle Alexander,"['Born: 4-Sep-1950', 'Birthplace: Cordova, AL']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Baseball']","['Wife: Pat (m. 13-Sep-1968, one daughter, one son)', 'Daughter: Lisa', 'Son: Christopher']"
Erika Alexander,"['Born: 19-Nov-1969', 'Birthplace: Winslow, AZ']","['Gender: Female', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Actor']",
Flex Alexander,"['Born: 15-Apr-1970', 'Birthplace: New York City']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Shanice (singer, m. 2000, one daughter, one son)', 'Daughter: Imani Shekinah Alexander (b. 23-Aug-2001)', 'Son: Elijah Alexander (b. 5-Mar-2004)']"
Gerry L. Alexander,"['Born: 28-Apr-1936', 'Birthplace: Aberdeen, WA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Judge']",['Wife: (three children)']
Grover Cleveland Alexander,"['Born: 26-Feb-1887', 'Birthplace: Elba, NE']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Baseball']","['Wife: Aimee Arrants (m. 1918, div. 1929)', 'Wife: Aimee Arrants (remarried, m. 1931, div. 1941)']"
J. Alexander,"['Born: ?', 'Birthplace: Bronx, NY']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Gay [1]', 'Occupation: Model']",
Jane Alexander,"['Born: 28-Oct-1939', 'Birthplace: Boston, MA']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Thomas Bartlett Quigley (surgeon)', 'Mother: Ruth Pearson', 'Husband: Robert Alexander (m. 23-Jul-1962, div. 1974, one son)', 'Husband: Edwin Sherin (m. 29-Mar-1975)']"
Jason Alexander,"['Born: 23-Sep-1959', 'Birthplace: Newark, NJ']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor', 'Party Affiliation: Democratic']","['Father: Alex Greenspan', 'Mother: Ruth Greenspan (nurse)', 'Sister: Karen Van Horn (half-sister)', 'Brother: Michael Greenspan (half-brother)', 'Wife: Daena E. Title (artist, m. 31-May-1981)', 'Son: Gabriel (b. Aug-1991)', 'Son: Noah (b. Feb-1996)']"
Joshua W. Alexander,"['Born: 22-Jan-1852', 'Birthplace: Cincinnati, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Thomas W. Alexander', 'Mother: Jane Robinson', 'Wife: Roe Ann Richardson (m. 3-Feb-1876, five sons, three daughters)', 'Son: Samuel', 'Son: Walter', 'Daughter: Julia', 'Daughter: Frances', 'Son: George', 'Daughter: Roena', 'Son: Preston', 'Son: Lawrence']"
Keith B. Alexander,"['Born: 1952', 'Birthplace: Syracuse, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Military']","['Wife: Deborah (m. 1975, four daughters)']"
Khandi Alexander,"['Born: 4-Sep-1957', 'Birthplace: New York City']","['Gender: Female', 'Race or Ethnicity: Black', 'Occupation: Actor']",
Lamar Alexander,"['Born: 3-Jul-1940', 'Birthplace: Maryville, TN']","['Gender: Male', 'Religion: Presbyterian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Father: Andrew Lamar Alexander', 'Mother: Genevra F. Rankin', 'Wife: Leslee K. Buhler (""Honey"", m. 1969, two sons, two daughters)', 'Son: Andrew', 'Daughter: Leslee', 'Daughter: Kathryn', 'Son: William']"
Lloyd Alexander,"['Born: 30-Jan-1924', 'Birthplace: Philadelphia, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Novelist']","['Wife: Janine Denni (French, m. 8-Jan-1946, d. 2007, one child)']"
Rodney Alexander,"['Born: 5-Dec-1946', 'Birthplace: Bienville, LA']","['Gender: Male', 'Religion: Baptist [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican [2]']",
Ross Alexander,"['Born: 27-Jul-1907', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Gay [1]', 'Occupation: Actor']",
Samuel Alexander,"['Born: 6-Jan-1859', 'Birthplace: Sydney, New South Wales, Australia [1]']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Occupation: Philosopher']","['Father: Samuel Alexander', 'Mother: Eliza Sloman']"
